№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3802,Анестезия экзотических животных 2 кат,Услуга,Манипуляции,,,единица,2000.0
3804,Анестезия экзотических животных 3 кат,Услуга,Манипуляции,,,единица,2800.0
3806,Анестезия экзотических животных 4 кат,Услуга,Манипуляции,,,единица,3600.0
3808,Анестезия экзотических животных 5 кат,Услуга,Манипуляции,,,единица,4500.0
3810,Анестезия эктотических животных 1 кат,Услуга,Манипуляции,,,единица,1500.0
3812,Анестезия эпидуральная,Услуга,Манипуляции,,,единица,600.0
2126,"АСД-2, флак. 100 мл.",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","флак,шт","900.0, 900.0"
3814,Аскаридоз IgG,Услуга,Манипуляции,,,единица,1300.0
3370,Астерион DHPPi+L+щелково,Услуга,Вакцинации,,,единица,2600.0
3372,Астерион DHPPl+L,Услуга,Вакцинации,,,единица,2500.0
2128,Атакса д/собак до 4 кг.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,560.0
2130,Атакса д/собак от 10 кг. до 25 кг.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,740.0
2132,Атакса д/собак от 25 кг.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,800.0
2134,Атакса д/собак от 4 кг. до 10 кг.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,650.0
2146,Барс спрей д/кошек 100 мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","флак,шт","570.0, 570.0"
2150,Бимаксгард д/взрослых кошек,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","740.0, 740.0"
2152,Бимаксгард д/котят,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","470.0, 470.0"
2156,Бимаксгард для щенков и маленьких собак,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",упак,470.0
2920,Бимаксгард для крупных собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",упак,750.0
2158,"Бинт самофиксирующийся 10 см х 4,5 м",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,450.0
2162,"Бинт самофиксирующийся 5 см х 4,5 м",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","мл,шт","300.0, 300.0"
2164,"Бинт самофиксирующийся 7,5 см х 4,5 м",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,390.0
4722,Биокан Dhppi+LR,Товар,Вакцины,Лечение,"Товары (НДС 5%, УСН доход)",доза,0.0
3816,Биохимическое исследование 1 показатель,Услуга,Манипуляции,,,единица,160.0
3818,Биохимия для пожилых кошек,Услуга,Манипуляции,,,единица,2700.0
3820,Биохимия стандартная/Электролиты,Услуга,Манипуляции,,,единица,2200.0
4494,Блефарорафия,Услуга,Хирургия,,,единица,1700.0
3822,Боррелиоз/болезнь Лайма ПЦР,Услуга,Манипуляции,,,единица,1400.0
3824,"Бруцеллез собак, ПЦР",Услуга,Манипуляции,,,единица,1100.0
3826,БХ 1 показатель-неовет,Услуга,Манипуляции,,,единица,120.0
3374,Вакцинация,Услуга,Вакцинации,,,единица,500.0
3376,Вакцинация Астерион DhppiLR,Услуга,Вакцинации,,,единица,3000.0
3378,Вакцинация бешенство,Услуга,Вакцинации,,,единица,1500.0
3380,Вакцинация Биокан Dhppi+L,Услуга,Вакцинации,,,единица,4000.0
3382,Вакцинация Биокан Dhppi+LR,Услуга,Вакцинации,,,единица,4000.0
3384,Вакцинация Биокан Puppy,Услуга,Вакцинации,,,единица,1500.0
3386,Вакцинация Биокан R,Услуга,Вакцинации,,,единица,2000.0
3388,Вакцинация Биофел PCHR (кошки),Услуга,Вакцинации,,,единица,4000.0
3390,вакцинация дипентовак,Услуга,Вакцинации,,,единица,3000.0
4746,Вакцинация имп. вакц. с выезд врача по Звенигороду,Услуга,Манипуляции,,,единица,6800.0
3880,Вакцинация имп. вакц. с выезд вет. врача до 10 км Звенигород,Услуга,Манипуляции,,,единица,7200.0
3878,Вакцинация имп. вакц.с выездом вет. врача 10- 20 км от Звенигорода,Услуга,Манипуляции,,,единица,7800.0
3392,Вакцинация Мультикан - 4 + рабикс,Услуга,Вакцинации,,,единица,3000.0
3394,Вакцинация Мультикан - 4 + щелково,Услуга,Вакцинации,,,единица,3000.0
3396,Вакцинация Мультикан - 6,Услуга,Вакцинации,,,единица,2800.0
3398,Вакцинация Мультикан - 6 + рабикс,Услуга,Вакцинации,,,единица,3000.0
3400,Вакцинация Мультикан - 8,Услуга,Вакцинации,,,единица,3000.0
3402,Вакцинация Мультифел-4 (кошка),Услуга,Вакцинации,,,единица,2800.0
3404,Вакцинация Мультифел4 + Рабифел (кошка),Услуга,Вакцинации,,,единица,3000.0
3406,Вакцинация Мультифел4 + Щелково (кошка),Услуга,Вакцинации,,,единица,3000.0
3882,Вакцинация отеч. вакц. с выезд врача по Звенигороду,Услуга,Манипуляции,,,единица,5800.0
4744,Вакцинация отеч. вакц. с выезд вет. врача до 10 км Звенигород,Услуга,Манипуляции,,,единица,6200.0
4742,Вакцинация отеч. вакц. с выездом вет. врача 10- 20 км от Звенигорода,Услуга,Манипуляции,,,единица,6800.0
3408,Вакцинация Рабикс (собаки),Услуга,Вакцинации,,,единица,1500.0
3410,Вакцинация Рабифел (кошка),Услуга,Вакцинации,,,единица,1500.0
3412,Вакцинация Фелоцел,Услуга,Вакцинации,,,единица,1000.0
3414,Вакцинация Фелоцел + Щелково,Услуга,Вакцинации,,,единица,2600.0
3416,вакцинация Щелково,Услуга,Вакцинации,,,единица,2000.0
3418,Вангард,Услуга,Вакцинации,,,единица,2800.0
3420,Вангард + Щелково,Услуга,Вакцинации,,,единица,2900.0
3828,Введение капель в глаза/ушной проход,Услуга,Манипуляции,,,единица,300.0
3830,Введение препарата перорально/ректально 1 категория,Услуга,Манипуляции,,,единица,300.0
3832,Введение препарата перорально/ректально 2 категория,Услуга,Манипуляции,,,единица,300.0
3834,Вегетативные формы простейших,Услуга,Манипуляции,,,единица,500.0
2172,"Вемелкам 0,5мг",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","500.0, 500.0"
2174,Вемелкам 2 мг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","870.0, 870.0"
3836,Венесекция,Услуга,Манипуляции,,,единица,800.0
2176,Ветеринарный паспорт для собак и кошек,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","флакон,шт","100.0, 100.0"
2180,"Ветмедин 1,25",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,3950.0
4790,ветмедин 5 мг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,8300.0
3838,Ветстандарт,Услуга,Манипуляции,,,единица,2200.0
3840,Взятие крови,Услуга,Манипуляции,,,единица,500.0
3842,Взятие крови у донора для переливания,Услуга,Манипуляции,,,единица,1000.0
3844,"Взятие соскоба, мазка",Услуга,Манипуляции,,,единица,300.0
3846,Взятие цитологии,Услуга,Манипуляции,,,единица,400.0
3848,Вирусная лейкемия кошек (выявление антигена р27) ИФА,Услуга,Манипуляции,,,единица,2300.0
3850,Вирусная лейкемия кошек пцр днк ( провирус FeLV),Услуга,Манипуляции,,,единица,1900.0
3852,Вирусная лейкемия кошек РНК,Услуга,Манипуляции,,,единица,1500.0
3854,Вирусный иммунодефицит кошек Ig ИФА,Услуга,Манипуляции,,,единица,2000.0
3856,Вирусный иммунодефицит кошек пцр,Услуга,Манипуляции,,,единица,1900.0
3858,Вирусный перитонит кошек,Услуга,Манипуляции,,,единица,1000.0
3860,Вирусный перитонит/корона ( титр) ИФА,Услуга,Манипуляции,,,единица,3000.0
3862,Вирусный перитонит/корона Ig ИФА,Услуга,Манипуляции,,,единица,2800.0
3864,Вирусный ринотрахеит кошек,Услуга,Манипуляции,,,единица,1400.0
4848,вита вет попона д/кошек фланелевая №1,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4850,вита вет попона д/собак фланелевая №2,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
4836,ВитаВет попона для кошек 2-хслойная №1,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
3132,Вкусный таблеткодаватель для кошек,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,100.0
3180,вл корм Мнямс индейка для котят,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,80.0
3182,Вл корм Ферма кота Федора,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,60.0
