№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3942,Инфузия внутривенная в стационаре,Услуга,Манипуляции,,,единица,1500.0
3944,Инфузия дополнительный час,Услуга,Манипуляции,,,единица,1200.0
3946,"Инфузия по СТОРОННЕМУ НАЗНАЧЕНИЮ (до 3-
х часов)",Услуга,Манипуляции,,,единица,3600.0
3948,Инфузия подкожная,Услуга,Манипуляции,,,единица,700.0
3950,Инфузия подкожная по СТОРОННЕМУ НАЗНАЧЕНИЮ,Услуга,Манипуляции,,,единица,1000.0
3952,Инъекция 1 кат ПО СТОРОННЕМУ НАЗНАЧЕНИЮ,Услуга,Манипуляции,,,единица,400.0
3954,"Инъекция 1 кат. внутримышечная/подкожная, во внутривенный катетер",Услуга,Манипуляции,,,единица,200.0
3956,Инъекция 2 кат ПО СТОРОННЕМУ НАЗНАЧЕНИЮ,Услуга,Манипуляции,,,единица,800.0
3958,"Инъекция 2 кат. внутримышечная/подкожная, во внутривенный катетер",Услуга,Манипуляции,,,единица,250.0
3960,"Инъекция 3 кат. внутримышечная/подкожная, во внутривенный катетер",Услуга,Манипуляции,,,единица,400.0
3962,"Инъекция 4 кат. внутримышечная/подкожная, во внутривенный катетер",Услуга,Манипуляции,,,единица,900.0
3964,"Инъекция внутримышечная/подкожная, во внутривенный катетер",Услуга,Манипуляции,,,единица,200.0
3966,Инъекция внутрисуставная,Услуга,Манипуляции,,,единица,500.0
4652,Инъекция противор. 1 кат.,Услуга,Терапия,,,единица,450.0
4654,Инъекция противор. 2 кат.,Услуга,Терапия,,,единица,700.0
4656,Инъекция противор. 3 кат.,Услуга,Терапия,,,единица,950.0
4658,Инъекция противор. 4 кат,Услуга,Терапия,,,единица,1200.0
3196,"ипакицен, 60 г",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,800.0
3252,Ипекон,Товар с учетом,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",шт,1500.0
3666,Исследования кала на скрытую кровь (с соблюдением диеты),Услуга,Манипуляции,,,единица,400.0
3968,Калицивироз кошек (FCV) ПЦР,Услуга,Манипуляции,,,единица,1400.0
3970,Кампилобактериоз ПЦР,Услуга,Манипуляции,,,единица,900.0
4522,Кастрация кобеля до 10 кг при крипторхизме 2 категории без стоимости анестезии,Услуга,Хирургия,,,единица,9700.0
4524,Кастрация кобеля до 10 кг при крипторхизме 1 категории без стоимости анестезии,Услуга,Хирургия,,,единица,7700.0
4526,Кастрация кобеля до 5 кг (все включено),Услуга,Хирургия,,,единица,7700.0
4528,Кастрация кобеля от 10 до 20 кг (все включено),Услуга,Хирургия,,,единица,11700.0
4530,кастрация кобеля от 10 до 30 кг при крипторхизме 1 категория без стоимости анестезии,Услуга,Хирургия,,,единица,11200.0
4532,Кастрация кобеля от 10 до 30 кг при крипторхизме 2 категория без стоимости анестезии,Услуга,Хирургия,,,единица,14300.0
4534,Кастрация кобеля от 20 до 40 кг (все включено),Услуга,Хирургия,,,единица,17200.0
4536,кастрация кобеля от 30 кг при крипторхизме 1 категория без стоимости анестезии,Услуга,Хирургия,,,единица,14300.0
4538,кастрация кобеля от 30 кг при крипторхизме 2 категория без стоимости анестезии,Услуга,Хирургия,,,единица,16900.0
4540,Кастрация кобеля от 40 кг (все включено),Услуга,Хирургия,,,единица,20100.0
4542,Кастрация кобеля от 5 до 10 кг (все включено),Услуга,Хирургия,,,единица,10300.0
4882,кастрация кобеля от 50 кг при крипторхизме 1 категория без стоимости анестезии,Услуга,Хирургия,,,единица,23100.0
4884,кастрация кобеля от 50 кг при крипторхизме 2 категория без стоимости анестезии,Услуга,Хирургия,,,единица,31900.0
4544,Кастрация кота (здоровое животное (все включено)),Услуга,Хирургия,,,единица,4700.0
4546,"Кастрация кота (при крипторхизме,полная стоимосто) 3 категории",Услуга,Хирургия,,,единица,10300.0
4548,"Кастрация кота (при крипторхизме,полная стоимость) 1 категории",Услуга,Хирургия,,,единица,7700.0
4550,"Кастрация кота (при крипторхизме,полная стоимость) 2 категории",Услуга,Хирургия,,,единица,9300.0
4552,Кастрация кролика,Услуга,Хирургия,,,единица,7100.0
4554,Кастрация крысы,Услуга,Хирургия,,,единица,4900.0
4556,Кастрация хорька,Услуга,Хирургия,,,единица,7900.0
3972,Катетеризация вены,Услуга,Манипуляции,,,единица,600.0
3974,"Катетеризация вены сложная (тяжелое состояние, щенки, котята, мелкие и экзотические животные)",Услуга,Манипуляции,,,единица,1100.0
3976,Катетеризация мочевого пузыря кобеля,Услуга,Манипуляции,,,единица,500.0
3978,Катетеризация мочевого пузыря кота,Услуга,Манипуляции,,,единица,500.0
3980,Катетеризация мочевого пузыря кота при обструкции уретры (1 категория),Услуга,Манипуляции,,,единица,1500.0
3982,Катетеризация мочевого пузыря кота при обструкции уретры (2 категория),Услуга,Манипуляции,,,единица,2500.0
3984,"Катетеризация мочевого пузыря суки, кошки",Услуга,Манипуляции,,,единица,1000.0
2390,Квантум,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,350.0
4558,Кесарево сечение кошки (анес и расходники отдельно),Услуга,Хирургия,,,единица,12700.0
4560,Кесарево сечение суки весом до 10 кг (анес и расходники отдельно),Услуга,Хирургия,,,единица,15100.0
4562,Кесарево сечение суки весом от 10 до 20 кг(анес и расходники отдельно),Услуга,Хирургия,,,единица,19100.0
4564,Кесарево сечение суки весом от 20 до 40 кг (анес и расходники отдельно),Услуга,Хирургия,,,единица,23700.0
4566,Кесарево сечение суки весом от 40 кг (анес и расходники отдельно),Услуга,Хирургия,,,единица,29200.0
3986,"Кислородная камера, содержание 30 минут",Услуга,Манипуляции,,,единица,700.0
2392,Кладакса /СИНУКСОЛ 50,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,400.0
2394,Кладакса/СИНУКСОЛ 250,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,700.0
2396,Кладакса/СИНУКСОЛ 400 мг./100мг.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","1100.0, 1100.0"
3988,Клещевые инвазии собак ПЦР,Услуга,Манипуляции,,,единица,2200.0
3990,Клостридиальный энтертоксин,Услуга,Манипуляции,,,единица,900.0
4650,Коагулограмма,Услуга,Лабораторные анализы,,,единица,1700.0
3106,"конафлион,10 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",флакон,2200.0
4460,Консервативное лечение при выпадения прямой кишки/влагалища,Услуга,Терапия,,,единица,2000.0
4462,Консультация без животного,Услуга,Терапия,,,единица,1500.0
4472,Консультация специалиста (доп. к основному приему),Услуга,Терапия,,,единица,600.0
3438,Копрограмма,Услуга,Лабораторные анализы,,,единица,2000.0
4720,корм вл рекавери для кошек,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,90.0
3306,корм вл(паучи)/кошки-гастроинтенстинал,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,95.0
3992,Коронавирусный гастроэнтерит ПЦР,Услуга,Манипуляции,,,единица,1400.0
3994,Кортизол крови,Услуга,Манипуляции,,,единица,1100.0
4942,Кранч д/кошек баклажанчик и мышка,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,260.0
4944,Кранч д/кошек кукурузка и мышка,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,290.0
4946,Кранч д/кошек лобстер с мятой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,260.0
4948,Кранч д/кошек огурчик с мятой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,230.0
4950,Кранч д/кошек Осьминожка с мятой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,260.0
4954,Кранч д/кошек Птичка с мятой красная,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,350.0
4952,Кранч д/кошек птичка с мятой серая,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,350.0
4956,Кранч д/кошек Скат с мятой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,230.0
