№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4902,Санация ротовой полости собака до 5 кг с удалением до 10 зубов,Услуга,Манипуляции,,,единица,13900.0
4186,Санация ротовой полости собака до 5 кг с удалением до 5 зубов,Услуга,Манипуляции,,,единица,11300.0
4200,Санация ушных раковин,Услуга,Манипуляции,,,единица,500.0
4202,Сеанс химиотерапии (в/в болюсное или в/м введение),Услуга,Манипуляции,,,единица,2000.0
4204,Сеанс химиотерапии (внутривенная инфузия),Услуга,Манипуляции,,,единица,3000.0
4206,Седация и анестезия кошки 1 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,2300.0
4208,Седация и анестезия кошки 2 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,3300.0
4210,Седация и анестезия кошки 3 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,5300.0
4212,Седация и анестезия кошки 4 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,5700.0
4214,Седация и анестезия собаки до 10 кг 1 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,2600.0
4216,Седация и анестезия собаки до 10 кг 2 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,4500.0
4218,Седация и анестезия собаки до 10 кг 3 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,5800.0
4220,Седация и анестезия собаки до 10 кг 4 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,6900.0
4222,Седация и анестезия собаки от 10 до 20 кг 1 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,3300.0
4224,Седация и анестезия собаки от 10 до 20 кг 2 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,5500.0
4226,Седация и анестезия собаки от 10 до 20 кг 3 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,6300.0
4228,Седация и анестезия собаки от 10 до 20 кг 4 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,7700.0
4230,Седация и анестезия собаки от 20 до 40 кг 1 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,4100.0
4232,Седация и анестезия собаки от 20 до 40 кг 2 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,5400.0
4234,Седация и анестезия собаки от 20 до 40 кг 3 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,7800.0
4236,Седация и анестезия собаки от 20 до 40 кг 4 кат./слож. (хирургия),Услуга,Манипуляции,,,единица,9500.0
4238,Седация и анестезия собаки от 40 кг 1 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,5500.0
4240,Седация и анестезия собаки от 40 кг 2 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,6700.0
4242,Седация и анестезия собаки от 40 кг 3 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,8000.0
4244,Седация и анестезия собаки от 40 кг 4 кат./ слож. (хирургия),Услуга,Манипуляции,,,единица,10000.0
4246,Седация кошки (кратковременная манипуляция),Услуга,Манипуляции,,,единица,1500.0
4248,Седация собаки до 10 кг (кратковременная манипуляция),Услуга,Манипуляции,,,единица,2100.0
4250,"Седация собаки от 10 - 20 кг
(кратковременная манипуляция)",Услуга,Манипуляции,,,единица,2500.0
4252,"Седация собаки от 20 - 40 кг
(кратковременная манипуляция)",Услуга,Манипуляции,,,единица,2700.0
4254,Седация собаки от 40 кг (кратковременная манипуляция),Услуга,Манипуляции,,,единица,3700.0
4256,Седация СРП 10 -20 кг II категории,Услуга,Манипуляции,,,единица,9900.0
4258,Седация СРП 10-20 кг I категории,Услуга,Манипуляции,,,единица,7900.0
4260,Седация СРП 10-20кг III категории,Услуга,Манипуляции,,,единица,11900.0
4262,Седация СРП до 10 кг I категории,Услуга,Манипуляции,,,единица,3400.0
4264,Седация СРП до 10 кг II категории,Услуга,Манипуляции,,,единица,4300.0
4266,Седация СРП до 10 кг III категории,Услуга,Манипуляции,,,единица,5500.0
4268,Седация СРП свыше 20 кг I категории,Услуга,Манипуляции,,,единица,10100.0
4270,Седация СРП свыше 20 кг II категории,Услуга,Манипуляции,,,единица,12300.0
4272,Седация СРП свыше 20 кг III категории,Услуга,Манипуляции,,,единица,14700.0
4274,Седация ст.рентген I категории,Услуга,Манипуляции,,,единица,2000.0
4276,Седация ст.рентген II категории,Услуга,Манипуляции,,,единица,2500.0
2768,"Селафорт д/котят и щенков до 2,5кг",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,650.0
2770,"Селафорт д/кошек 2,6-7,5кг",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,740.0
4278,Сердечный профиль,Услуга,Манипуляции,,,единица,2000.0
2774,Симпарика д/собак 10-20кг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","4400.0, 4400.0"
2778,Симпарика д/собак 2.6-5кг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,3600.0
2776,"Симпарика д/собак 20,1-40 кг",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","4800.0, 4800.0"
3046,Симпарика д/собак 40-60 кг,Товар с учетом,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",упак,5600.0
2780,Симпарика д/собак 5.1-10кг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,3800.0
4280,"Снятие катетера (в/в, уретральный)",Услуга,Манипуляции,,,единица,400.0
4282,Снятие шва,Услуга,Манипуляции,,,единица,500.0
2786,Соладокси доксициклин 100 мг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,600.0
4288,Соотношение белка к креатинину. моча ВЦ,Услуга,Манипуляции,,,единица,700.0
4290,Соотношение белок/креатинин в моче,Услуга,Манипуляции,,,единица,700.0
3456,Соскоб кожи,Услуга,Лабораторные анализы,,,единица,500.0
4292,Спленэктомия,Услуга,Манипуляции,,,единица,15100.0
4296,Стрижка когтей/зубов 1 категория,Услуга,Манипуляции,,,единица,500.0
4298,Стрижка когтей/зубов 2 категория,Услуга,Манипуляции,,,единица,600.0
4300,Стрижка когтей/зубов 2 категория с фиксацией,Услуга,Манипуляции,,,единица,1300.0
2796,Суролан 30 мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1500.0
