№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
2602,Неболин-вет 5мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,850.0
3304,"неболин-вет,10 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1200.0
2606,Нефроспас 25 мл (телмисартан),Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,2100.0
3440,ОАК,Услуга,Лабораторные анализы,,,единица,1000.0
4034,Общий анализ крови + лейкоформула(без соэ),Услуга,Манипуляции,,,единица,1000.0
3442,Общий анализ помета птиц,Услуга,Лабораторные анализы,,,единица,1000.0
4036,Общий клинический анализ мочи ВЦ,Услуга,Манипуляции,,,единица,800.0
4590,Овариогистероэктомия кошки (здоровое животное (все включено),Услуга,Хирургия,,,единица,6700.0
4592,"Овариогистероэктомия кошки (при патологии половой системы, беременности)анес.и расх. не входят",Услуга,Хирургия,,,единица,10100.0
4594,"Овариогистероэктомия суки до 10 кг (при патологии половой системы,
беременности)анес.и расх. не входят",Услуга,Хирургия,,,единица,13100.0
4596,Овариогистероэктомия суки до 5 кг (здоровое животное (все включено)),Услуга,Хирургия,,,единица,10300.0
4598,Овариогистероэктомия суки от 10 до 20 кг (здоровое животное (все включено)),Услуга,Хирургия,,,единица,19900.0
4600,"Овариогистероэктомия суки от 10 до 20 кг (при пат.половой системы,
беременности)анес.и расх. не входят",Услуга,Хирургия,,,единица,19300.0
4602,Овариогистероэктомия суки от 20 до 40 кг (здоровое животное (все включено)),Услуга,Хирургия,,,единица,23100.0
4604,"Овариогистероэктомия суки от 20 до 40 кг (при пат.половой системы,
беременности)анес.и расх. не входят",Услуга,Хирургия,,,единица,21500.0
4606,Овариогистероэктомия суки от 40 кг (здоровое животное (все включено)),Услуга,Хирургия,,,единица,31900.0
4608,Овариогистероэктомия суки от 5 до 10кг (здоровое животное (все включено)),Услуга,Хирургия,,,единица,12700.0
4610,Овариогистероэктомия суки свыше 40 кг (здоровое животное (все включено)),Услуга,Хирургия,,,единица,31900.0
4612,"Овариогистероэктомия суки свыше 40 кг (при пат.половой системы, беременности)анес.и
расх. не входят",Услуга,Хирургия,,,единица,29900.0
2,ОГЭ кошки тест,Товар(Простая),Не шаблон,,"Услуги (НДС не облагается, УСН доход)",единица,6700
4038,Оксигенотерапия 15 минут,Услуга,Манипуляции,,,единица,500.0
4466,Онлайн консультация,Услуга,Терапия,,,единица,1700.0
4614,Оперативное вмешательство 1 категории (стоимость за час),Услуга,Хирургия,,,единица,3500.0
4616,Оперативное вмешательство 2 категории (стоимость за час),Услуга,Хирургия,,,единица,4500.0
4618,Оперативное вмешательство 3 категории (стоимость за час),Услуга,Хирургия,,,единица,6200.0
4620,Оперативное вмешательство 4 категории (стоимость за час),Услуга,Хирургия,,,единица,8100.0
4622,Оперативное лечение диафрагмальной грыжи,Услуга,Хирургия,,,единица,11300.0
4624,Оперативное лечение пролапса слезной железы (1 глаз),Услуга,Хирургия,,,единица,3500.0
4626,Операции на третьем веке 1 категории,Услуга,Хирургия,,,единица,2000.0
4628,Операции на третьем веке 2 категории,Услуга,Хирургия,,,единица,3500.0
4040,Описторхоз IgG,Услуга,Манипуляции,,,единица,1300.0
2616,Оралкея- гель зоологический для полости рта,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1100.0
2618,Орозим гель,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,2300.0
4938,Отибиовин,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1200.0
2624,Отоксолан 10 мл.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1450.0
4468,Отоскопия,Услуга,Терапия,,,единица,300.0
2896,Отосур,Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,1400.0
4470,Офтальмоскопия,Услуга,Терапия,,,единица,200.0
4042,Очистительная клизма глубокая,Услуга,Манипуляции,,,единица,2500.0
4044,Очистительная клизма простая,Услуга,Манипуляции,,,единица,1000.0
4046,Паластика ушей,Услуга,Манипуляции,,,единица,1000.0
4048,Палатопластика 1 кат,Услуга,Манипуляции,,,единица,8000.0
4050,Палатопластика 2 кат,Услуга,Манипуляции,,,единица,9000.0
4052,Палатопластика 3 кат,Услуга,Манипуляции,,,единица,10800.0
4054,Панкреатическая липаза кошек/собак,Услуга,Манипуляции,,,единица,2000.0
4056,"Панлейкопения кошек, ПЦР",Услуга,Манипуляции,,,единица,1400.0
4058,Парвовирусная инфекция собак ПЦР,Услуга,Манипуляции,,,единица,1400.0
4834,Паспорт ветеринарный Ветзабота глянцевая обл,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,100.0
4832,Паспорт ветеринарный Ветзабота матовая обл,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,100.0
3286,"паста для вывода шерсти, экопром клини,30 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,380.0
3112,"Паста для вывода шерсти,75 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,550.0
2898,пеленка на прием,Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,40.0
4464,Первичный прием Ведущего Врача,Услуга,Манипуляции,,,единица,2700.0
4118,Первичный прием врача,Услуга,Терапия,,,единица,1700.0
4116,Первичный прием Врача Стоматолога,Услуга,Манипуляции,,,единица,2500.0
4114,Первичный прием врача-кардиолога (включает ЭХО),Услуга,Манипуляции,,,единица,3700.0
4102,Первичный прием врача-офтальмолога,Услуга,Манипуляции,,,единица,2700.0
4690,Первичный прием гастроэнтеролога,Услуга,Терапия,,,единица,2700.0
4100,Первичный прием герпетолога,Услуга,Манипуляции,,,единица,1500.0
4006,Первичный прием Главного Врача,Услуга,Манипуляции,,,единица,3000.0
4098,Первичный прием животных семейства куньи,Услуга,Манипуляции,,,единица,1900.0
4096,Первичный прием Онколога,Услуга,Манипуляции,,,единица,2700.0
4094,Первичный прием ратолога,Услуга,Манипуляции,,,единица,2500.0
4074,Перевязка 1 категории,Услуга,Манипуляции,,,единица,200.0
4076,Перевязка 2 категории,Услуга,Манипуляции,,,единица,300.0
4078,Перевязка 3 категории,Услуга,Манипуляции,,,единица,600.0
4080,Переливание крови (гемотрансфузия),Услуга,Манипуляции,,,единица,2000.0
3028,Переноска для животных Турне М зеленая 48*32*32,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1800.0
3032,переноска для животных турне м голубая,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1800.0
3030,переноска для животных турне м фиолетовая,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1800.0
2650,"переноска сумка дизайн 1, кофр жесткий вернисаж",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,2300.0
3036,Переноска Турне м голуб.,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1800.0
3034,переноска турне м фиолет,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1800.0
4082,Перикардиоцентез,Услуга,Манипуляции,,,единица,2000.0
4962,петпарк д/кошек мышки с хвостами,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,300.0
4846,Печеночный профиль,Услуга,Лабораторные анализы,,,единица,1700.0
2656,Пинпрамиль для собак более 5 кг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","600.0, 600.0"
2928,Пинпрамиль для кошек более 2 кг,Товар с учетом,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",упаковка,600.0
2658,Пинпрамиль для кошек до 2 кг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,650.0
2662,Пинпрамиль для собак до 5 кг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","550.0, 550.0"
4084,Пироплазмоз общий ( babesia spp) ПЦР,Услуга,Манипуляции,,,единица,1000.0
2664,Пиростоп 10 мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",мл,90.0
4812,Плак офф,Товар,Медматериалы,Лечение,,упаковка,1550.0
4086,Пластика век 1 категории за 1 глаз,Услуга,Манипуляции,,,единица,3700.0
4088,Пластика век 2 категории за 1 глаз,Услуга,Манипуляции,,,единица,6500.0
4092,Повторный прием Ведущего врача,Услуга,Манипуляции,,,единица,1900.0
4090,Повторный прием врача,Услуга,Терапия,,,единица,1500.0
4072,Повторный прием Врача Стоматолога,Услуга,Манипуляции,,,единица,2100.0
4070,Повторный прием врача-кардиолога (включает ЭХО),Услуга,Манипуляции,,,единица,2500.0
4632,Повторный прием врача-невролога,Услуга,Терапия,,,единица,2000.0
4068,Повторный прием врача-офтальмолога,Услуга,Манипуляции,,,единица,2000.0
4692,Повторный прием гастроэнтеролога,Услуга,Терапия,,,единица,2000.0
4066,Повторный прием Главного Врача,Услуга,Манипуляции,,,единица,2900.0
4630,Повторный прием онколога,Услуга,Терапия,,,единица,2000.0
4064,Повторный прием ратолога,Услуга,Манипуляции,,,единица,2000.0
2672,"Подгузник L 8-14 кг, 1шт",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,120.0
2678,"Подгузник S 3-6 кг, 1 шт",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,90.0
2680,"Подгузник XS 2-4 кг, 1 шт",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,70.0
2682,"Подгузник М 5-10 кг, 1шт.",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,100.0
4674,попона №1 Ветзабота для собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
