№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3664,404 Панкреатическая эластаза,Услуга,Манипуляции,,,единица,3200.0
3668,4217 Пастерилез,Услуга,Манипуляции,,,единица,1000.0
3670,4218 Клостридиоз/Энтеротоксин,Услуга,Манипуляции,,,единица,2000.0
3672,4501 Неоспороз,Услуга,Манипуляции,,,единица,1000.0
3674,502 Кровопаразитарные инвазии (микроскопия),Услуга,Манипуляции,,,единица,700.0
3676,503 Дирофляриоз,Услуга,Манипуляции,,,единица,700.0
3678,504 Определение вида гельминта,Услуга,Манипуляции,,,единица,500.0
3680,505 Анализ на дрожжевые грибы (микроскопия),Услуга,Манипуляции,,,единица,700.0
3682,"506 Микроскопия ушного содержимого (эктопаразиты, дрожжи)",Услуга,Манипуляции,,,единица,850.0
3684,601 Тестостерон,Услуга,Манипуляции,,,единица,1200.0
3686,602 Эстрадиол,Услуга,Манипуляции,,,единица,1200.0
3688,603 ТТГ Собак,Услуга,Манипуляции,,,единица,1600.0
3690,604 Т4 общий,Услуга,Манипуляции,,,единица,1600.0
3692,605 Тироксин Т-4 свободный,Услуга,Манипуляции,,,единица,1600.0
3694,606 Трийодтиронин (Т 3),Услуга,Манипуляции,,,единица,1200.0
3696,608 Кортизол в моче,Услуга,Манипуляции,,,единица,900.0
3698,611 Альдостерон,Услуга,Манипуляции,,,единица,1400.0
3700,612 Паратгормон,Услуга,Манипуляции,,,единица,1800.0
3702,614 АКТГ,Услуга,Манипуляции,,,единица,1500.0
3704,615 Андростендион,Услуга,Манипуляции,,,единица,1800.0
3706,"617 Кортизол, креатинин соотношение в моче",Услуга,Манипуляции,,,единица,1200.0
3708,"622 Дексаметазоновая проба (3 пробы на кортизол, МДП или БДП)",Услуга,Манипуляции,,,единица,2800.0
3710,625 Тест стимуляции АКГТ (2 пробы на кортизол),Услуга,Манипуляции,,,единица,1500.0
3712,626 Тест стимуляции АКГТ (2 пробы на альдостерон),Услуга,Манипуляции,,,единица,2200.0
3714,627 Дексаметазоновая проба (2 пробы на кортизол),Услуга,Манипуляции,,,единица,1500.0
3716,670 Антимюллеров гормон,Услуга,Манипуляции,,,единица,1800.0
3718,6886 Респираторные инфекции кошек,Услуга,Манипуляции,,,единица,3000.0
3720,6973 Трансимиссивные болезни собак,Услуга,Манипуляции,,,единица,3000.0
3722,"701 Бактериологический анализ СКРИНИНГ, с подтитровкой к антибиотикам",Услуга,Манипуляции,,,единица,1700.0
3724,703 Комплексный анализ СКРИНИНГ,Услуга,Манипуляции,,,единица,2100.0
3726,704 Облигатные анаэробы (Скрининг),Услуга,Манипуляции,,,единица,1100.0
3728,705 Определение чувствительности возбудителя к доп антибиотику или фагу,Услуга,Манипуляции,,,единица,350.0
3730,706 Исследование крови на стерильность,Услуга,Манипуляции,,,единица,1600.0
3732,"707 Мазок, микроскопия",Услуга,Манипуляции,,,единица,900.0
3734,715 Бактериологический анализ СКРИНИНГ без подтитровки к антибиотикам,Услуга,Манипуляции,,,единица,1600.0
3736,"716 Бактериологический анализ количественный, с подтитровкой к антибиотикам и фагам",Услуга,Манипуляции,,,единица,1700.0
3738,717 Микологический анализ количественный,Услуга,Манипуляции,,,единица,1400.0
3740,719 Посев содержимого абсцесса на актиномикоз,Услуга,Манипуляции,,,единица,1200.0
3742,720 Определение чувствительности е антибиотику по выбору из списка,Услуга,Манипуляции,,,единица,350.0
3744,"721 Бактериологический анализ количественный, без подтитровки к антибиотикам и фагам",Услуга,Манипуляции,,,единица,1000.0
3746,722 Комплексный анализ СКРИНИНГ без дермафитов,Услуга,Манипуляции,,,единица,1900.0
3748,"723 Бактериологический анализ мочи
количественный, с подтитровкой к нитрофуранам и сульфаниламидам",Услуга,Манипуляции,,,единица,1700.0
3750,726 Посев на стрептококки гр В,Услуга,Манипуляции,,,единица,1200.0
3752,727 Посев на уреаплазмы,Услуга,Манипуляции,,,единица,1900.0
3754,728 Посев на сальмонеллез,Услуга,Манипуляции,,,единица,1200.0
3756,"729 Комплексный посев мочи, количественный",Услуга,Манипуляции,,,единица,2300.0
3758,750 Расширенный список антибиотиков 16шт,Услуга,Манипуляции,,,единица,1100.0
3760,"801 Цитология выпотов, экссудатов/транссудатов (биохимия+цитология)",Услуга,Манипуляции,,,единица,2100.0
3762,802 Миелограмма,Услуга,Манипуляции,,,единица,2500.0
