№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
2824,"Феливей, д/нормализации поведения кошки",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,3500.0
4356,Фиксация животного с привлечением одного сотрудника,Услуга,Манипуляции,,,единица,500.0
2958,Фиприст Спот он 2-10 кг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1600.0
2830,Фиприст д/кошек,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1800.0
4786,"флексапрофен 2,5%",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
2842,"Флексопрофен 5%, р-р для инъекций, мл",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","мл,шт","1200.0, 100.0"
2850,Фунгин спрей д/соб. и кошек 30 мл.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,600.0
4358,Хеликобактер,Услуга,Манипуляции,,,единица,1000.0
2858,Хелси Отик/ Ушастик,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,450.0
4360,Хламидиоз ПЦР,Услуга,Манипуляции,,,единица,1400.0
2860,Холликалм,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,2000.0
4700,"холликалм для собак, 24 мг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,2540.0
4698,"холликалм для собак, 60 мг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,2800.0
4694,"холликалм для собак,16 мг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1170.0
4362,Цестодозы IgG,Услуга,Манипуляции,,,единица,1300.0
4364,Цистотомия,Услуга,Манипуляции,,,единица,11000.0
4366,Цистоцентез,Услуга,Манипуляции,,,единица,900.0
3458,Цитологическое исследование,Услуга,Лабораторные анализы,,,единица,1000.0
4368,Цитологическое исследование транссудатов и экссудатов,Услуга,Манипуляции,,,единица,1500.0
4370,Цитологическое исследование- лаб CITO ZC113,Услуга,Манипуляции,,,единица,1900.0
4372,Цитология,Услуга,Манипуляции,,,единица,800.0
4374,Цитология крови,Услуга,Манипуляции,,,единица,1500.0
4376,Чек-АП Сеньор (для животных 8+) (Т4 только у кошек),Услуга,Манипуляции,,,единица,7700.0
4378,Чек-АП Сеньор (для животных 8+) собаки,Услуга,Манипуляции,,,единица,6100.0
4380,Чек-АП Янг (для молодых животных),Услуга,Манипуляции,,,единица,4100.0
4382,Чипирование животного,Услуга,Манипуляции,,,единица,3100.0
3114,шампунь антигрибковый и противоаллергический,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
2906,Шампунь ветзабота с хлоргексидином 5 %,Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,600.0
3116,шампунь гипоаллергенный,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,300.0
2872,Шампунь Пчелодар хлоргексидиновый,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,650.0
2874,"Шампунь с Хлоргексидином 4% , 150 мл",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,600.0
3118,шампунь хлоргесидиновый - с антибакт эффектом,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
4754,Эвтаназия кошка до 6 кг ( об./ крем) с выездом в Звенигороде,Услуга,Манипуляции,,,единица,9800.0
4752,Эвтаназия кошка до 6 кг ( об./ крем) с выездом вр до 10 км от Звенигорода,Услуга,Манипуляции,,,единица,10200.0
4750,Эвтаназия кошка до 6 кг ( об./ крем) с выездом вр от 10 до 20 км от Звенигорода,Услуга,Манипуляции,,,единица,10800.0
4384,Эвтаназия кошка до 6 кг ( общ. крем),Услуга,Манипуляции,,,единица,7000.0
4386,Эвтаназия кошка до 6 кг (индив.крем),Услуга,Манипуляции,,,единица,16000.0
4756,Эвтаназия кошка до 6 кг (индив.крем) с выездом врача,Услуга,Манипуляции,,,единица,19800.0
4762,эвтаназия соб. до 10 кг ( кошка более 6 кг) / общ.крем с выездом врача 10-20 км от Звенигороде,Услуга,Манипуляции,,,единица,14100.0
4758,эвтаназия соб. до 10 кг ( кошка более 6 кг)/ общ.крем с выездом врача в Звенигороде,Услуга,Манипуляции,,,единица,13100.0
4760,эвтаназия соб.до 10 кг ( кошка более 6 кг) / общ.крем с выездом врача до 10 км от Звенигороде,Услуга,Манипуляции,,,единица,13500.0
4388,эвтаназия собака до 10 кг ( кошка более 6 кг) ( общ.крем),Услуга,Манипуляции,,,единица,10300.0
4764,эвтаназия собака до 10 кг( кошка более 6 кг) инд. кремация с выездом врача,Услуга,Манипуляции,,,единица,21000.0
4390,эвтаназия собака до 10 кг( кошка более 6 кг) индив крем,Услуга,Манипуляции,,,единица,17200.0
4392,эвтаназия собака от 11 до 20 кг индив крем,Услуга,Манипуляции,,,единица,25700.0
4772,эвтаназия собака от 11 до 20 кг индив крем с выездом врача,Услуга,Манипуляции,,,единица,29500.0
4394,эвтаназия собака от 11 до 20 кг общая крем,Услуга,Манипуляции,,,единица,13700.0
4766,эвтаназия собака от 11 до 20 кг общая крем с выездом врача в Звенигороде,Услуга,Манипуляции,,,единица,16500.0
4768,эвтаназия собака от 11 до 20 кг общая крем с выездом врача до 10 км от звенигорода,Услуга,Манипуляции,,,единица,16900.0
4770,эвтаназия собака от 11 до 20 кг общая крем с выездом врача от 10-20 км от Звенигорода,Услуга,Манипуляции,,,единица,17500.0
