№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4800,лакомство д/ собак губы говяжьи,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,300.0
2472,Лакомство д/с -пармская косточка р S,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,250.0
2468,Лакомство д/с -пармская косточка р XXL,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,550.0
2252,Лакомство д/с- грудки утиные,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,250.0
2478,Лакомство д/с- пармская косточка L,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,400.0
4798,лакомство д/собак -пятачок,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,220.0
3022,Лакомство для собак мясной мусс из курицы и моркови,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,160.0
3006,Лакомство для собак из ягненка в форме соломки,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,350.0
2480,Лакомство для тренировок AWARD - говядина и черника,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,150.0
2482,лакомство для тренировок award -ягненок и голубика,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,150.0
2484,Лакомство для тренировок Award- кролик и брусника,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,150.0
3018,Лакомство для щенков с ягненком и голубикой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,150.0
3008,Лакомство из курицы с треской в форме сендвича,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
4802,лакомство мини-колбаски из ягненка,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4804,лакомство мнямс -соломка из утки,Товар с учетом,товары,,,шт,250.0
3346,"лакомство Мнямс д/собак ""кубики по норвежски""",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,170.0
2492,Лакомство мясной мусс кошки (курица с морковью),Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,160.0
2494,"Лакомство мясной мусс кошки (тунец, курица, морковь)",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,160.0
2496,"Лакомство мясной мусс кошки (утка, тыква)",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,160.0
2498,Лакомство мясной мусс кошки(лосось и курица с морковью),Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,160.0
2500,"Лакомство мясной мусс собаки (утка, морковь, город)",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,160.0
3010,лакомство с олениной в форме филе для собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,350.0
3016,Лакомство с уткой в форме сосисок для собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
3014,лакомство с ягненком в форме сосисок для собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
3108,Лакомство- пивной напиток для собак Хвост,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,550.0
3020,Лакомстово для собак кубики по ямальски из северного оленя,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
2502,лактостоп 7 мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1900.0
4000,Лапароцентез,Услуга,Манипуляции,,,единица,1000.0
4002,Лапароцентез с удалением жидкости,Услуга,Манипуляции,,,единица,1500.0
4736,"латран 0,2%",Не для продажи,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",,
4922,Левомеколь,Товар,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,250.0
4738,лейкопластырь кат 2*500 см №1,Не для продажи,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",,
4740,лейкопластырь кат 3*500 см №1,Не для продажи,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",,
4004,"Лекарственный мониторинг - базовый уровень (фенобарбитал, паглюферал)",Услуга,Манипуляции,,,единица,3500.0
4008,Лептоспириоз ПЦР,Услуга,Манипуляции,,,единица,1000.0
4636,Лечение в стационар 2-й категории - 1 час,Услуга,Терапия,,,единица,375.0
4634,Лечение в стационаре 1-й категории - 1 час,Услуга,Терапия,,,единица,250.0
